,week,hour_of_week,WindowsToAgentCalls,rate,treatment
2009,13,41,288,0.0030160226201696515,0.0
2010,13,42,230,0.0024243446364010076,0.0
2011,13,43,170,0.0018929060561859057,0.0
2012,13,44,114,0.001349048565748367,0.0
2013,13,45,57,0.0007234604254454993,0.0
2014,13,46,12,0.0001551550257298751,0.0
2015,13,47,11,0.00012830382345393893,0.0
2016,13,48,11,0.0001199760047990402,0.0
2017,13,49,3,3.279118572927597e-05,0.0
2018,13,50,4,4.4241914790072115e-05,0.0
2019,13,51,6,6.407039200401508e-05,0.0
2020,13,52,11,9.762418239747242e-05,0.0
2021,13,53,45,0.00030157219638381427,0.0
2022,13,54,188,0.001040576966718142,0.0
2023,13,55,272,0.0014207364847218596,0.0
2024,13,56,345,0.001834959976597612,0.0
2025,13,57,406,0.0023363813710990775,0.0
2026,13,58,373,0.0021560942901074002,0.0
2027,13,59,369,0.0021550465466693143,0.0
2028,13,60,481,0.002956143369880525,0.0
2029,13,61,471,0.003145956344011328,0.0
2030,13,62,441,0.0034400986005585286,0.0
2031,13,63,398,0.003701740189923454,0.0
2032,13,64,360,0.0037527754902062986,0.0
2033,13,65,314,0.003340709847646608,0.0
2034,13,66,223,0.0023563224463487567,0.0
2035,13,67,190,0.002099331528644826,0.0
2036,13,68,130,0.0015081206496519721,0.0
2037,13,69,78,0.0009564332397336701,0.0
2038,13,70,16,0.00019734083228496017,0.0
2039,13,71,7,7.728401876897598e-05,0.0
2040,13,72,10,0.00010578540372999333,0.0
2041,13,73,4,4.2326250740709385e-05,0.0
2042,13,74,7,7.548309178743961e-05,0.0
2043,13,75,7,7.146357399542633e-05,0.0
2044,13,76,7,5.416195973445165e-05,0.0
2045,13,77,35,0.00018950468888744503,0.0
2046,13,78,172,0.000787823545847208,0.0
2047,13,79,234,0.00104713447623139,0.0
2048,13,80,271,0.0012410413756783368,0.0
2049,13,81,332,0.0016718029286764558,0.0
2050,13,82,367,0.0018912261535448897,0.0
2051,13,83,418,0.002183200844031714,0.0
2052,13,84,434,0.0024176387356974944,0.0
2053,13,85,436,0.0026931700959287423,0.0
2054,13,86,410,0.0030433265786328784,0.0
2055,13,87,382,0.003490975554032442,0.0
2056,13,88,299,0.0030958149551676296,0.0
2057,13,89,257,0.0027847004009101746,0.0
2058,13,90,189,0.002062778311359469,0.0
2059,13,91,151,0.001745785834855597,0.0
2060,13,92,112,0.001388888888888889,0.0
2061,13,93,83,0.0011227443659876093,0.0
2062,13,94,16,0.00021999780002199978,0.0
2063,13,95,13,0.0001621473295582109,0.0
2064,13,96,8,9.390442876762175e-05,0.0
2065,13,97,6,7.244014632909559e-05,0.0
2066,13,98,6,7.105889598161943e-05,0.0
