HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
179386,178848,2017,1,19,13
106629,106248,2017,1,25,12
274680,274008,2017,2,6,14
82550,82172,2017,2,7,8
79470,79144,2017,2,8,7
77007,76651,2017,2,14,6
60874,60489,2017,3,5,6
83849,83298,2017,3,6,5
68072,67558,2017,3,26,11
78465,78158,2017,2,5,22
75688,75373,2017,2,22,5
72132,71555,2017,3,26,0
86058,85415,2017,3,27,5
177751,177027,2017,1,18,19
188268,187545,2017,1,19,18
83209,82861,2017,1,31,3
91624,91044,2017,3,31,1
88691,88283,2017,2,5,20
89228,88810,2017,2,12,20
79268,78976,2017,2,20,5
142361,141968,2017,2,20,12
84464,83896,2017,3,26,13
155174,154052,2017,4,5,20
79254,78944,2017,1,29,14
58104,57866,2017,2,4,11
78050,77678,2017,2,4,22
68595,68291,2017,2,5,0
64742,64458,2017,2,11,4
80887,80555,2017,2,22,4
127918,127112,2017,2,28,22
175008,173717,2017,3,15,19
101764,101190,2017,3,19,15
65651,65296,2017,4,2,11
77996,77541,2017,4,2,22
63657,63148,2017,3,25,5
81078,80525,2017,3,30,5
231611,230819,2017,1,12,16
148790,148364,2017,1,16,12
92543,92171,2017,1,27,23
81784,81209,2017,3,10,10
90778,90053,2017,3,25,20
188015,186708,2017,3,29,15
95697,94959,2017,4,5,8
62509,62139,2017,4,8,5
84983,84647,2017,1,21,0
51178,50976,2017,1,28,7
154731,154112,2017,2,8,20
129252,128774,2017,2,9,22
139480,138867,2017,2,14,21
84051,83705,2017,2,20,8
224417,223784,2017,2,21,14
83843,83481,2017,2,22,9
107092,106465,2017,3,9,23
98988,98289,2017,3,23,9
54828,54583,2017,1,1,2
73660,73300,2017,1,2,1
139856,139275,2017,1,20,21
90791,90366,2017,1,21,20
89843,89476,2017,2,1,1
155003,154439,2017,2,9,21
82006,81620,2017,2,21,9
82586,82282,2017,2,24,11
78755,78107,2017,3,25,22
83316,82920,2017,1,3,8
71199,70864,2017,1,8,3
101685,101280,2017,2,23,23
94455,93813,2017,2,25,18
72261,71845,2017,2,25,23
84110,83480,2017,3,1,8
199753,198545,2017,3,3,14
183635,182352,2017,3,7,19
97446,96878,2017,3,8,1
84865,84340,2017,3,14,3
58594,58271,2017,3,19,7
71587,71227,2017,1,22,0
78609,78251,2017,1,25,8
90919,90527,2017,1,26,2
55021,54666,2017,2,25,9
67867,67437,2017,2,26,1
162847,161690,2017,3,15,20
258847,257157,2017,3,20,15
99735,99009,2017,3,25,14
64924,64527,2017,4,9,0
81022,80626,2017,1,25,9
114041,113592,2017,1,27,22
67788,67400,2017,2,26,2
102702,101995,2017,3,24,22
117364,116551,2017,4,5,11
